Date,Close,EMA20,SMA50,RSI,OBV,MACD,Stoch_D,Stoch_K,ROC,Volume_SMA20,Daily_Return,Year,Month,Day
2023-08-15,8.336671829223633,8.274995403224459,7.959367847442627,54.25971673452518,16206000,0.15377854481790365,68.45231197527293,39.2856788926406,0.4613578204833679,444210.0,-0.01692993550061639,2023,8,15
2023-08-16,8.250528335571289,8.27266520630511,7.9832962799072265,51.51270487219817,15854300,0.13337263162755875,42.856994417914756,23.21404732792549,-2.1566508108971307,456155.0,-0.01033307960502583,2023,8,16
2023-08-17,8.269672393798828,8.272380176542606,8.005884742736816,52.093170689182756,16381900,0.11739233811336014,29.761814974752184,26.78571870369038,1.1709578921614552,477245.0,0.002320343310015849,2023,8,17
2023-08-18,8.260100364685059,8.271210670651412,8.025218935012818,51.759518783450446,15910600,0.10277078003915996,24.999883015807963,24.999883015807935,-0.11574858903657781,467650.0,-0.0011574858903657947,2023,8,18
2023-08-21,8.154815673828125,8.260125432858718,8.041681718826293,48.10954327266352,15291800,0.08174518763301997,23.415747463355956,18.461640670569462,-1.956255532267163,479910.0,-0.012746175737411658,2023,8,21
2023-08-22,8.298386573791504,8.263769351042793,8.053550233840943,52.97896901896928,15772100,0.07579352534456874,28.333362476425638,41.538563742899434,-0.5733877077174985,493290.0,0.0176056585097506,2023,8,22
2023-08-23,8.499384880065918,8.28620892523547,8.069247283935546,58.80702919066743,16846200,0.08630085111374797,44.61543572280911,73.84610275495835,1.6018253156755733,526500.0,0.024221371767521704,2023,8,23
2023-08-24,8.384528160095215,8.29557266188878,8.08456148147583,54.6394229548867,16458000,0.084387241492351,56.92307693165075,55.38456429709437,-0.9049824246914994,535850.0,-0.013513533225219976,2023,8,24
2023-08-25,8.508956909179688,8.31589497115458,8.100832834243775,58.10347531103206,18166700,0.09185223682714039,68.20511117932284,75.38466648591572,-1.7679545967248893,612325.0,0.014840280419913254,2023,8,25
2023-08-28,8.528099060058594,8.336104884383534,8.115572748184205,58.62692906391692,19134300,0.09818113994499811,69.74357271747817,78.46148736942435,0.5643386805797185,648700.0,0.0022496471757020853,2023,8,28
2023-08-29,8.604670524597168,8.36168256440388,8.133758373260498,60.73998817435596,19842900,0.10812907386155324,81.53846154213606,90.76923077106801,3.214696474366234,671305.0,0.008978725973904034,2023,8,29
